"Identif"	"Stations"	"Sites"	"Saisons"	"Biomes"	"Familles"	"Genres"	"Cdspec"	"N"
"1"	"A1_FC"	"A1"	"Awguej"	"FC"	"Démersal"	"Portunidae"	"Callinectes"	"CAAM01"	2
"2"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Mugilidae"	"Chelon"	"CHDU72"	138
"3"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Cichlidae"	"Coptodon"	"COGU01"	17
"4"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Morronidae"	"Dicentrarchus"	"DIPU60"	212
"5"	"A1_FC"	"A1"	"Awguej"	"FC"	"Démersal"	"Sparidae"	"Diplodus"	"DISA30"	218
"6"	"A1_FC"	"A1"	"Awguej"	"FC"	"Démersal"	"Tetraodontidae"	"Ephippion"	"EPGU60"	1
"7"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Gereidae"	"Eucinostomus"	"EUME00"	34
"8"	"A1_FC"	"A1"	"Awguej"	"FC"	"Démersal"	"Gobiidae"	"Gobbius"	"GOSP60"	12
"9"	"A1_FC"	"A1"	"Awguej"	"FC"	"Démersal"	"Hemiramphidae"	"Hemiramphus"	"HEBR01"	2
"10"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Mugilidae"	"Liza"	"LIAU71"	2
"11"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Mugilidae"	"Mugil"	"MUCA69"	218
"12"	"A1_FC"	"A1"	"Awguej"	"FC"	"Estuarien"	"Cichlidae"	"Sarotherodon"	"SAME02"	2
"13"	"A1_FC"	"A1"	"Awguej"	"FC"	"Démersal"	"Soleidae"	"Synaptura"	"SYCA50"	3
"14"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Atherinidae"	"Atherina"	"ATBO11"	357
"15"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Bothidae"	"Bothus"	"BOPO50"	1
"16"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Mugilidae"	"Chelon"	"CHDU72"	36
"17"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Cichlidae"	"Coptodon"	"COGU01"	85
"18"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Morronidae"	"Dicentrarchus"	"DIPU60"	10
"19"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Sparidae"	"Diplodus"	"DISA30"	4
"20"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Gereidae"	"Eucinostomus"	"EUME00"	72
"21"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Gobiidae"	"Gobbius"	"GOSP60"	1
"22"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Geryonidae"	"Liocarcinus"	"LICO10"	14
"23"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Lutjanidae"	"Lutjanus"	"LUSP80"	1
"24"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Mugilidae"	"Mugil"	"MUCA69"	1
"25"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Haemulidae"	"Pomadasys"	"POJU60"	3
"26"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Cichlidae"	"Sarotherodon"	"SAME02"	26
"27"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Serranidae"	"Serranus"	"SESC90"	2
"28"	"A1_SC"	"A1"	"Awguej"	"SC"	"Démersal"	"Tetraodontidae"	"Sphoeroides"	"SPSP00"	5
"29"	"A1_SC"	"A1"	"Awguej"	"SC"	"Estuarien"	"Syngnathidae"	"Syngnathus"	"SYAC00"	12
